respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,Qual é a sua idade?,Com qual gênero você se identifica?,Qual é seu nível de escolaridade?,Qual é o nível de escolaridade do seu pai?,Qual é o nível de escolaridade da sua mãe?,Qual a sua profissão?,O que é o Sol?,Quantos planetas o Sistema Solar possui?,Qual o maior planeta do Sistema Solar?,Qual é o nome da nossa Galáxia?,O que é a Lua?,Qual é a distância (aproximada) da Terra ao Sol?,Qual o formato da Terra?,O que é um eclipse lunar?,"O que é uma ""estrela cadente""?",Qual a diferença entre cometa e asteroide?,O que é uma nebulosa?,Qual destes(as) é um(a) astrônomo(a) brasileiro(a)?,O que é um buraco negro?,"Qual a idade do Universo, aproximadamente?",Por que é necessário colocar telescópios no espaço?,O Sol morrerá um dia. O que ele se tornará?,Identifique a nebulosa:,Selecione a alternativa que associa corretamente a constelação a seu nome:
10246882751,216856699,09/28/2018 07:34:37 PM,09/28/2018 07:41:13 PM,,,,,,14 a 17,Feminino,Superior Incompleto,Superior Completo,Pós-graduação Completo,Estudante,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 milhões Km,Geóide,"Ocorre quando Terra e Lua estão alinhados, com a Terra à frente da Lua. Os raios solares são bloqueados, e a Lua aparece como uma ""sombra"".",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É o ""resto"" de uma estrela após esta ter morrido",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Anã Branca,Image 4,Escorpião
10246861868,216856699,09/28/2018 07:17:51 PM,09/28/2018 07:26:07 PM,,,,,,18 a 24,Masculino,Superior Incompleto,Fundamental Incompleto,Fundamental Incompleto,Estudante,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 milhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Lua entre o Sol e a Terra. Assim, o Sol é ocultado pela sombra da Lua.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Cometas são frios, possuem órbitas estáveis e não necessariamente orbitam o Sol. Asteroides são quentes, possuem órbitas caóticas e sempre orbitam o Sol","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É uma região do espaço ""vazia"", sem massa e sem luz",14 bilhões de anos,"Telescópios na Terra apontam somente para uma região específica do céu; no espaço, porém, os telescópios orbitam nosso planeta, cobrindo todo o céu",Uma Supernova,Image 4,Caixa
10246831779,216856699,09/28/2018 06:56:57 PM,09/28/2018 06:57:46 PM,,,,,,18 a 24,Masculino,Superior Incompleto,Médio Completo,Médio Incompleto,Estudante,,,,,,,,,,,,,,,,,,
10246821888,216856699,09/28/2018 06:50:10 PM,09/28/2018 06:55:21 PM,,,,,,18 a 24,Feminino,Superior Incompleto,Médio Completo,Médio Completo,Estudante,Uma estrela,9,Saturno,Via Láctea,Um satélite natural,150 bilhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Lua entre o Sol e a Terra. Assim, o Sol é ocultado pela sombra da Lua.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Elisabete Costa,"É uma região do espaço ""vazia"", sem massa e sem luz",3 bilhões de anos,"Telescópios na Terra apontam somente para uma região específica do céu; no espaço, porém, os telescópios orbitam nosso planeta, cobrindo todo o céu",Uma nova estrela,Image 1,Escorpião
10246770316,216856699,09/28/2018 06:16:23 PM,09/28/2018 06:54:36 PM,,,,,,18 a 24,Feminino,Médio Completo,Médio Completo,Médio Completo,Estudante,Uma estrela,8,Júpiter,Via Láctea,Um cometa,150 milhões Km,Redondo,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Lua entre o Sol e a Terra. Assim, o Sol é ocultado pela sombra da Lua.",É um cometa que passa muito perto da Terra,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É uma região do espaço ""vazia"", sem massa e sem luz",14 bilhões de anos,"Telescópios na Terra apontam somente para uma região específica do céu; no espaço, porém, os telescópios orbitam nosso planeta, cobrindo todo o céu",Uma Supernova,Image 4,Escorpião
10246767200,216856699,09/28/2018 06:01:51 PM,09/28/2018 06:21:25 PM,,,,,,18 a 24,Feminino,Superior Incompleto,Superior Completo,Superior Completo,Estudante,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 trilhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Elisabete Costa,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Telescópios na Terra apontam somente para uma região específica do céu; no espaço, porém, os telescópios orbitam nosso planeta, cobrindo todo o céu",Um Buraco Negro,Image 4,Lira
10246748558,216856699,09/28/2018 06:03:39 PM,09/28/2018 06:12:01 PM,,,,,,25 a 34,Feminino,Superior Completo,Superior Completo,Superior Incompleto,Historiador,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 bilhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Lua entre o Sol e a Terra. Assim, o Sol é ocultado pela sombra da Lua.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Cometas são frios, possuem órbitas estáveis e não necessariamente orbitam o Sol. Asteroides são quentes, possuem órbitas caóticas e sempre orbitam o Sol","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Rebeca Gusmão,"É uma pequena galáxia que perdeu toda massa através de colisões com outras galáxias maiores, tornando-se ""negra""",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Supernova,Image 4,Escorpião
10246743168,216856699,09/28/2018 06:00:15 PM,09/28/2018 06:06:25 PM,,,,,,18 a 24,Feminino,Médio Completo,Pós-graduação Completo,Pós-graduação Completo,Estudante,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 trilhões Km,Geóide,"Ocorre quando Terra e Lua estão alinhados, com a Terra à frente da Lua. Os raios solares são bloqueados, e a Lua aparece como uma ""sombra"".",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos possuem características físicas semelhantes, com a diferença que asteroides são mais velhos e podem entrar nas atmosferas de planetas","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Anã Branca,Image 4,Escorpião
10246741929,216856699,09/28/2018 06:00:02 PM,09/28/2018 06:05:08 PM,,,,,,18 a 24,Masculino,Superior Incompleto,Médio Completo,Médio Completo,Estudante,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 bilhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Cometas são frios, possuem órbitas estáveis e não necessariamente orbitam o Sol. Asteroides são quentes, possuem órbitas caóticas e sempre orbitam o Sol","É uma região do espaço extremamente turbulenta, por conta de as estrelas estarem muito próximas",Elisabete Costa,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Supernova,Image 4,Escorpião
10246724639,216856699,09/28/2018 05:49:54 PM,09/28/2018 05:54:49 PM,,,,,,18 a 24,Masculino,Superior Incompleto,Pós-graduação Completo,Superior Incompleto,Segurança,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 milhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,É uma região do espaço através da qual é possível viajar para outras dimensões,14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma nova estrela,Image 4,Escorpião
10246706993,216856699,09/28/2018 05:40:26 PM,09/28/2018 05:44:57 PM,,,,,,25 a 34,Feminino,Superior Incompleto,Pós-graduação Incompleto,Pós-graduação Completo,Estudante,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 milhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Lua entre o Sol e a Terra. Assim, o Sol é ocultado pela sombra da Lua.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Cometas são frios, possuem órbitas estáveis e não necessariamente orbitam o Sol. Asteroides são quentes, possuem órbitas caóticas e sempre orbitam o Sol","É uma região do espaço extremamente turbulenta, por conta de as estrelas estarem muito próximas",Marcelo Gleiser,"É uma região do espaço ""vazia"", sem massa e sem luz",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Anã Branca,Image 4,Caixa
10246690034,216856699,09/28/2018 05:30:57 PM,09/28/2018 05:36:22 PM,,,,,,25 a 34,Masculino,Pós-graduação Completo,Superior Completo,Superior Completo,Professor,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 milhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Anã Branca,Image 4,Escorpião
10246672404,216856699,09/28/2018 05:21:59 PM,09/28/2018 05:29:54 PM,,,,,,18 a 24,Masculino,Superior Incompleto,Médio Completo,Superior Completo,Estudante,Uma estrela,9,Júpiter,Via Láctea,Um satélite natural,150 milhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Lua entre o Sol e a Terra. Assim, o Sol é ocultado pela sombra da Lua.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Cometas são frios, possuem órbitas estáveis e não necessariamente orbitam o Sol. Asteroides são quentes, possuem órbitas caóticas e sempre orbitam o Sol","É um tipo de galáxia raro, confundido inicialmente com uma estrela",Rebeca Gusmão,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Anã Branca,Image 4,Escorpião
10246669743,216856699,09/28/2018 05:20:32 PM,09/28/2018 05:26:12 PM,,,,,,18 a 24,Masculino,Superior Incompleto,Fundamental Incompleto,Médio Incompleto,Estudante,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 mil Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Anã Branca,Image 4,Escorpião
10246668221,216856699,09/28/2018 05:19:18 PM,09/28/2018 05:26:04 PM,,,,,,18 a 24,Masculino,Superior Incompleto,Médio Completo,Pós-graduação Completo,Estudante,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 trilhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Anã Branca,Image 4,Escorpião
10246667403,216856699,09/28/2018 05:19:10 PM,09/28/2018 05:28:58 PM,,,,,,18 a 24,Feminino,Médio Completo,Médio Completo,Superior Completo,Estudante,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 milhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Lua entre o Sol e a Terra. Assim, o Sol é ocultado pela sombra da Lua.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Cometas são frios, possuem órbitas estáveis e não necessariamente orbitam o Sol. Asteroides são quentes, possuem órbitas caóticas e sempre orbitam o Sol","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Elisabete Costa,"É uma região do espaço ""vazia"", sem massa e sem luz",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Supernova,Image 4,Escorpião
10246660475,216856699,09/28/2018 05:15:34 PM,09/28/2018 05:16:34 PM,,,,,,18 a 24,Masculino,Superior Incompleto,Superior Completo,Médio Completo,Metereologista,,,,,,,,,,,,,,,,,,
10246648133,216856699,09/28/2018 05:09:20 PM,09/28/2018 05:10:10 PM,,,,,,18 a 24,Masculino,Superior Incompleto,Fundamental Incompleto,Fundamental Incompleto,Astrônomo,,,,,,,,,,,,,,,,,,
10246631910,216856699,09/28/2018 05:00:38 PM,09/28/2018 05:09:09 PM,,,,,,18 a 24,Masculino,Médio Completo,Superior Completo,Superior Completo,Estudante,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 bilhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Lua entre o Sol e a Terra. Assim, o Sol é ocultado pela sombra da Lua.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Anã Branca,Image 4,Escorpião
10246599674,216856699,09/28/2018 04:32:53 PM,09/28/2018 04:50:33 PM,,,,,,25 a 34,Feminino,Superior Completo,Pós-graduação Completo,Superior Completo,Engenheiro,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 milhões Km,Geóide,"Ocorre quando Terra e Lua estão alinhados, com a Terra à frente da Lua. Os raios solares são bloqueados, e a Lua aparece como uma ""sombra"".",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É o ""resto"" de uma estrela após esta ter morrido",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Supernova,Image 4,Escorpião
10246594439,216856699,09/28/2018 04:37:54 PM,09/28/2018 07:14:38 PM,,,,,,18 a 24,Masculino,Superior Completo,Fundamental Completo,Fundamental Incompleto,Publicitário,Uma estrela,8,Júpiter,Via Láctea,Um asteroide,150 bilhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É um tipo de galáxia raro, confundido inicialmente com uma estrela",Alberto Garibaldi,"É uma pequena galáxia que perdeu toda massa através de colisões com outras galáxias maiores, tornando-se ""negra""",A idade do universo é desconhecida,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Supernova,Image 4,Escorpião
